sign_id,unicode_codepoint,codepoint_decimal,unicode_char,unicode_name,unicode_block,auto_label,png_path,has_manual_annotation,gardiner_code,zh_name,en_name,phonetic_value,meaning_zh,meaning_en,related_terms,text_search_terms,category,annotation_source,processed_png_path,relief_variant,relief_png_path,relief_generation_method,view_name,dinov2_score,global_rank,confidence_level
U_133B4,U+133B4,78772,𓎴,EGYPTIAN HIEROGLYPH W005,Egyptian Hieroglyphs,W005,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_133B4.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_133B4_processed.png,relief_light_top,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_133B4_relief_light_top.png,synthetic_stone_relief_v1,query_relief_style,0.6221143,39,中
U_13245,U+13245,78405,𓉅,EGYPTIAN HIEROGLYPH NU014,Egyptian Hieroglyphs,NU014,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13245.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13245_processed.png,relief_light_left,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13245_relief_light_left.png,synthetic_stone_relief_v1,query_relief_style,0.62168133,40,中
U_1324D,U+1324D,78413,𓉍,EGYPTIAN HIEROGLYPH NU021,Egyptian Hieroglyphs,NU021,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_1324D.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_1324D_processed.png,relief_light_left,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_1324D_relief_light_left.png,synthetic_stone_relief_v1,query_relief_style,0.621175,41,中
U_1305D,U+1305D,77917,𓁝,EGYPTIAN HIEROGLYPH C002B,Egyptian Hieroglyphs,C002B,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_1305D.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_1305D_processed.png,relief_light_left,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_1305D_relief_light_left.png,synthetic_stone_relief_v1,query_relief_style,0.6210885,42,中
U_13227,U+13227,78375,𓈧,EGYPTIAN HIEROGLYPH NL007,Egyptian Hieroglyphs,NL007,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13227.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13227_processed.png,relief_light_left,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13227_relief_light_left.png,synthetic_stone_relief_v1,query_relief_style,0.6210753,43,中
U_132C7,U+132C7,78535,𓋇,EGYPTIAN HIEROGLYPH R020,Egyptian Hieroglyphs,R020,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_132C7.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_132C7_processed.png,relief_light_right,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_132C7_relief_light_right.png,synthetic_stone_relief_v1,query_relief_style,0.6207361,44,中
U_13424,U+13424,78884,𓐤,EGYPTIAN HIEROGLYPH AA022,Egyptian Hieroglyphs,AA022,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13424.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13424_processed.png,relief_noise,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13424_relief_noise.png,synthetic_stone_relief_v1,query_relief_style,0.61856514,45,中
U_1330F,U+1330F,78607,𓌏,EGYPTIAN HIEROGLYPH T007A,Egyptian Hieroglyphs,T007A,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_1330F.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_1330F_processed.png,relief_light_left,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_1330F_relief_light_left.png,synthetic_stone_relief_v1,query_relief_style,0.6183586,46,中
U_13073,U+13073,77939,𓁳,EGYPTIAN HIEROGLYPH C022,Egyptian Hieroglyphs,C022,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13073.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13073_processed.png,relief_light_left,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13073_relief_light_left.png,synthetic_stone_relief_v1,query_relief_style,0.61789656,47,中
U_1337A,U+1337A,78714,𓍺,EGYPTIAN HIEROGLYPH V011B,Egyptian Hieroglyphs,V011B,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_1337A.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_1337A_processed.png,relief_noise,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_1337A_relief_noise.png,synthetic_stone_relief_v1,query_relief_style,0.6176491,48,中
U_1322E,U+1322E,78382,𓈮,EGYPTIAN HIEROGLYPH NL014,Egyptian Hieroglyphs,NL014,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_1322E.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_1322E_processed.png,relief_light_left,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_1322E_relief_light_left.png,synthetic_stone_relief_v1,query_relief_style,0.61742747,49,中
U_132D4,U+132D4,78548,𓋔,EGYPTIAN HIEROGLYPH S003,Egyptian Hieroglyphs,S003,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_132D4.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_132D4_processed.png,relief_light_top,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_132D4_relief_light_top.png,synthetic_stone_relief_v1,query_relief_style,0.6173013,50,中
